Title,Rating,No of reviews,location,Part of,What you will do,Host,Since,reviews,verification,comment,url
Clearing life's hurdles with Kurt Cuoto,5.0,Rated 5.0 out of 5 from 9 reviews.,Olympian and Paralympian collection,Download Zoom,"First up, we'll get to know one another, then I’ll tell and show you what it’s like to be in lockdown as an Olympian. I’ll share my journey and story with you, then we'll do a little exercise, mirroring what I do to get ready before race day. At the end, we'll have a Q&A where you may ask as many questions as you like.",Olympic experience hosted by Kurt,Olympian · Representing Mozambique · Host on Airbnb since 2016,9 Reviews,Identity verified,"I’m from Mozambique, although I call Pretoria, South Africa, my home nowadays. I’ve been competing in athletic hurdling for some time now; around 17 years. I am a four-time Olympian (2004-2016) and I'm bidding for my fifth Olympics, let’s call it Tokyo 2020-1. I'd like to share my journey with you of how I ended up living and training in South Africa, tell you about the passion I have grown for the sport of athletics, the highs and lows, and the sacrifices made to be able to live the Olympic dream, and give you an insight into what it’s like during lockdown in Pretoria, South Africa. I’m from Mozambique, although I call Pretoria, South Africa, my home nowadays. I’ve been competing in athletic hurdling for some time now; around 17 years. I am a four-time Olympian (2004-2016) and I'm bidding for my fifth Olympics, let’s call it Tokyo 2020-1. I'd like to share my journey with you of how I ended up living and training in South Africa, tell you about the passion I have grown for the sport of athletics, the highs and lows, and the sacrifices made to be able to live the… ",https://www.airbnb.co.in/experiences/1688228?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Magic & Mentalism with David Rosenfeld,4.94,Rated 4.94 out of 5 from 34 reviews.,"New York, United States",Airbnb Online Experiences,"In addition to teaching you a few tricks, I will have each of you volunteer for a magical effect or psychological experiment of mentalism. There will be laughter,  amazement, clapping, and, best of all, you don't need to bring a thing! For pictures, videos, and hundreds of verified reviews, please find David Rosenfeld Magic & Mentalism online.",Online experience hosted by David,Host on Airbnb since 2019,34 Reviews,Identity verified,"Long Island-native David Rosenfeld specializes in close-up magic and mentalism. He performs at everything from weddings, birthday parties, bar/bat mitzvahs, communions, and retirement parties to corporate events for Linked In and the New York Rangers. A magician and mentalist for over 15 years, David Rosenfeld brings high energy and professionalism to his work. He entertains and engages audiences of all ages with a variety of effects that captivate and amaze. He constantly builds his repertoire of skills, bringing new material to each act. ​And, now, he is amazing audiences around the world virtually! *Please message David if the time you are looking for is not available on the calendar.* Long Island-native David Rosenfeld specializes in close-up magic and mentalism. He performs at everything from weddings, birthday parties, bar/bat mitzvahs, communions, and retirement parties to corporate events for Linked In and the New York Rangers. A magician and mentalist for over 15 years, David Rosenfeld brings high energy and professionalism to his work. He entertains and engages audiences of all ages with a variety of effects that captivate and amaze. He constantly builds his repertoire… ",https://www.airbnb.co.in/experiences/1730188?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Divination with Maya Spiritual Guide,4.64,Rated 4.64 out of 5 from 11 reviews.,"Ciudad de México, Mexico",Airbnb Online Experiences,"This is a 90 minute-interactive 1-on-1 online Mayan reading of your life based on the Mayan calendar, which is a very accurate and complete system for computing time. This reading serves as a map of your life from the date of your birth.  First, we will both connect online via Zoom and I will begin by giving a general view on the mayan calendar (so you can understand the context and scope) and then I will make the reading. I will tell you all about your character, preferences, the circumstances around your birth, your life purpose and more!  After this, I will answer all the questions you have about your past, present and future. This is a 90 minute-interactive 1-on-1 online Mayan reading of your life based on the Mayan calendar, which is a very accurate and complete system for computing time. This reading serves as a map of your life from the date of your birth.  First, we will both connect online via Zoom and I will begin by giving a general view on the mayan calendar (so you can understand the context and scope) and then I will make the reading. I will tell you al… ",Online experience hosted by Fabian,Host on Airbnb since 2017,11 Reviews,Identity verified,"I am a spiritual guide, published author, dancer, textile collector, and musician of the K'iche' Maya tradition. I am also an associate professor at Universidad Maya Kaqchikel, teaching Mayan textile art and philosophy. My book: The Birth of a Universe. You can read the feedback from my guests here: https://www.airbnb.es/experiences/186120",https://www.airbnb.co.in/experiences/1730584?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Mindfulness and Horseback Riding: A Virtual Ranch Visit,4.72,Rated 4.72 out of 5 from 18 reviews.,"Freetown, Canada",Airbnb Online Experiences,"""There is something about the outside of a horse that is good for the inside of man"" ~Winston Churchill  Meet us online for a 1 hour horse experience Have a tour of the facilities and meet Gloria our huge PIG that is family to us, meet our goats, chickens and TOM CRUISE the TURKEY !! We will go and get a horse to two. You will be taught how horses communicate, how to safely work with horses, how to groom and get horses ready for a ride.  We will then go for a Trail ride through some beautiful PEI landscape.  We will do some breath work and spend some time together enjoying the PRESENT moment. When we get back to the farm we will show the horses gratitude by giving them their favorite treat  and some love. If the weather is good we will give them a bath too :)  Horses have so much to teach us about living in the present moment. Horses have the ability to heal our hearts.  This is an online experience and you will need internet. All you need is an open mind and the desire to learn about horses.  If your planning a vacation to Prince Edward Island this online experience will provide you a glimpse of what life on a working horse ranch is like before you come and see us :)  This experience is great for people of all ages. You will feel like you are on the farm and you will have lots of learning opportunities.  Have you ridden here before ? Request your favorite horse !!!!! ""There is something about the outside of a horse that is good for the inside of man"" ~Winston Churchill  Meet us online for a 1 hour horse experience Have a tour of the facilities and meet Gloria our huge PIG that is family to us, meet our goats, chickens and TOM CRUISE the TURKEY !! We will go and get a horse to two. You will be taught how horses communicate, how to safely work with horses, how to groom and get horses… ",Online experience hosted by Jasmine,Host on Airbnb since 2013,18 Reviews,Identity verified,"Hi everyone my name is Jasmine and my husband and I own a horse ranch on Prince Edward Island.  We are both Certified Equine Assisted Learning Facilitators and are passionate about healing centered around the horse.  We are home to over 25 horses all sizes, breeds and colors.  Each horses has a unique background and the ability to teach us more about ourselves. Just like us :)  We provide several different services  *Alternative approach to healing centered around the horse  * Horse Meditation  *Conscious horse communication  *Trail rides *Riding Lessons  You can even come and stay with us and experience life on a working horse ranch !!!!!! Life as we know it is now changed and we welcome you into our lives with this online experience. Hi everyone my name is Jasmine and my husband and I own a horse ranch on Prince Edward Island.  We are both Certified Equine Assisted Learning Facilitators and are passionate about healing centered around the horse.  We are home to over 25 horses all sizes, breeds and colors.  Each horses has a unique background and the ability to teach us more about ourselves. Just like us :)  We provide several different services  *Alternative approach to healing centered around the horse… ",https://www.airbnb.co.in/experiences/1680404?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Mezcal Class by Chicago Bartender,5.0,2 reviews,"Chicago, United States",Airbnb Online Experiences,"I will tell you the story of mezcal and how it made its way to the United States from Mexico through a mezcal inspired cocktail class. You will learn how to taste mezcal, how to make a mezcal margarita and a Oaxacan old fashion.",Online experience hosted by Argelia,Host on Airbnb since 2015,2 Reviews,Identity verified,"For the last 2 years, I have taught 24 craft cocktail classes at restaurants and for private events by celebrating Mexican culture through beverages. I use fresh ingredients and my recipes are influenced by my Mexican-American upbringing. I have received 5-star reviews and referrals for my unique take and storytelling.",https://www.airbnb.co.in/experiences/1678604?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Everything You Need to Know About Podcasting,5.0,Rated 5.0 out of 5 from 10 reviews.,"Chicago, United States",Airbnb Online Experiences,"Learn how to create your own podcast from home, in this virtual workshop from digital media producer Jaime Black, who started podcasting in 2005! This two hour online workshop will introduce a number of methods at varying price points for recording remote podcast interviews and conversations. Remote recording meaning, if you as the host are in Chicago, you can connect and record with a guest in LA, or New York, or even across the street. All from the comfort and safety of your own home. The workshop also covers podcast production. After your session, you’ll understand what goes into editing a professional sounding podcast. Additionally, we’ll learn how to publish your podcast to platforms like Apple Podcasts, Spotify, and more. This virtual Zoom workshop is hosted by veteran podcaster Jaime Black, who has been podcasting for more than a decade and a half. In 2005, he launched Dynasty Podcasts, the first ever and longest-running music podcast in Chicago’s history. Jaime Black also offered this workshop via Airbnb Experiences as an in-person class, bringing in over 100 five star reviews, which can be read here: https://www.airbnb.com/experiences/22477 Learn how to create your own podcast from home, in this virtual workshop from digital media producer Jaime Black, who started podcasting in 2005! This two hour online workshop will introduce a number of methods at varying price points for recording remote podcast interviews and conversations. Remote recording meaning, if you as the host are in Chicago, you can connect and record with a guest in LA, or New York, or even across the stree… ",Online experience hosted by Jaime,Host on Airbnb since 2012,10 Reviews,Identity verified,"I have been working in Chicago’s media and the broadcast industries for over two decades. I began my radio career at the age of 15, and have been working in broadcast ever since. In 2005, I launched Dynasty Podcasts, the first ever and longest-running music podcast in the City of Chicago's history. Since that time, I have produced over 1,000 podcast episodes, as well as live streams, videos, panels, workshops, and classes, all connected to my podcast organization. I have also spoken about podcasting at conferences like SXSW and Podcast Movement. In addition to my work in the podcasting industry, I also teach Freelancing for creatives and artists in the Business & Entrepreneurship department at Columbia College Chicago. I have been working in Chicago’s media and the broadcast industries for over two decades. I began my radio career at the age of 15, and have been working in broadcast ever since. In 2005, I launched Dynasty Podcasts, the first ever and longest-running music podcast in the City of Chicago's history. Since that time, I have produced over 1,000 podcast episodes, as well as live streams, videos, panels, workshops, and classes, all connected to my podcast organization. I have also spoken a… ",https://www.airbnb.co.in/experiences/1657168?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
"Tamales Fiesta, from a Mexican Chef",5.0,Rated 5.0 out of 5 from 38 reviews.,"Ciudad de México, Mexico",Airbnb Online Experiences,"In this experience you'll learn how to make one of the most iconic dishes of Mexico, guided by a Mexican chef . At the same time you'll learn about the history of this dish and will prepare them several different ways - including tamales, oaxaqueños and Mexico City style. We also going to learn how to make some salsas from scratch and work whit the ingredients that you have available and getting some tips from the chef.",Online experience hosted by Arturo,Host on Airbnb since 2016,38 Reviews,Identity verified,"I am a chef with more than ten years experience in the gastronomical industry. My speciality is Mexican food and I was born and raised in Oaxaca City, a Southern state. As I grew, so did my passion for Oaxacan cuisine - arguably the best and most varied food of Mexico! I currently work as head chef for a group of restaurants here in Mexico City.  You can visit Instagram account for more content:  @Masa.y.sal Masa y sal  https://instagram.com/masa.y.sal?igshid=t1km5n73gacz Soy un chef con experiencia de mas de 10 años en la industria gastronómica, originario de la ciudad de Oaxaca donde crecí con la pasión hacia la comida, mi especialidad es cocina mexicana tanto tradicional como contemporánea. I am a chef with more than ten years experience in the gastronomical industry. My speciality is Mexican food and I was born and raised in Oaxaca City, a Southern state. As I grew, so did my passion for Oaxacan cuisine - arguably the best and most varied food of Mexico! I currently work as head chef for a group of restaurants here in Mexico City.  You can visit Instagram account for more content:  @Masa.y.sal Masa y sal  https://instagram.com/masa.y.sal?igshi… ",https://www.airbnb.co.in/experiences/1686240?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Meet & Learn How Guide Dogs are Trained,4.91,Rated 4.91 out of 5 from 46 reviews.,"Ottawa, Canada",Airbnb Online Experiences,"In this live and interactive experience we hope to educate our guests on the training process and time it takes to provide professionally trained Guide Dogs. We will begin the process with meeting some of the dogs in training. We will then move over to our demonstration area where we will discuss the methods being used as well as the increased responsibility as we work with dogs who have just entered their formal training, are half way through their formal training and are finally ready to be matched with a client and graduate as a Guide Dog. This Experience is great for team-building. Book a private experience for your group. Is your group larger than my listed max group size for private groups? Send me a message. In this live and interactive experience we hope to educate our guests on the training process and time it takes to provide professionally trained Guide Dogs. We will begin the process with meeting some of the dogs in training. We will then move over to our demonstration area where we will discuss the methods being used as well as the increased responsibility as we work with dogs who have just entered their formal training, are half way through th… ",Online experience hosted by Jessie,Host on Airbnb since 2020,46 Reviews,Identity verified,I am the Manager of Canine Development and Care at Canadian Guide Dogs for the Blind. We have been training and providing professionally trained Guide Dogs to blind and low vision Canadians since 1984. In my role at CGDB I work closely with all teams involved in the process of developing these life changing super heroes from birth all the way to their retirement.,https://www.airbnb.co.in/experiences/1739791?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Dance with a Jamaican,4.92,Rated 4.92 out of 5 from 12 reviews.,"Negril, Jamaica",Airbnb Online Experiences,"Hey! Dancing makes your body feel so good. Jamaican dancing is a fun way to express and exercise. We'll mainly do dancehall moves. Dancehall, like most things in Jamaica, has an interesting history and we, Jamaicans, love to move our bodies. I've personally been dancing since I was a kid, doing ska with some of the other folks. I truly believe dancing is a celebration of your body and a connection to your soul. Did you know that dancing raises levels of happy hormones like serotonin and dopamine? Yea mon, it well good fi yuh! Here's the structure of my class. We'll start with a warm-up for 5 minutes as we get to know each other a bit. Then we'll get into the hardcore dancing. I'll show you the old and new Jamaican dances. We'll do that for 30 mins then warm down for 10 minutes. Of course wi a guh chat likkle patois in between and share stories. It will be so much fun, sweat and overall, happiness. If you want to book a time you don't see here, let me know. Feel free to do several classes and bring your family and friends. The more, the merrier :) I am looking forward to having an irie time with all a unnu. Hey! Dancing makes your body feel so good. Jamaican dancing is a fun way to express and exercise. We'll mainly do dancehall moves. Dancehall, like most things in Jamaica, has an interesting history and we, Jamaicans, love to move our bodies. I've personally been dancing since I was a kid, doing ska with some of the other folks. I truly believe dancing is a celebration of your body and a connection to your soul. Did you know that dancing raises le… ",Online experience hosted by Latoya,Host on Airbnb since 2018,12 Reviews,Identity verified,"I have over 5 years of experience in the hospitality industry as an Entertainment Coordinator & Retreat Manager. I am originally from Kingston but have traveled all over Jamaica. I've done dancing on different beaches, hiking the Blue Mountain Peak, Calabash, bamboo rafting & so much more! I am currently working from home so my schedule can be pretty flexible. Other than traveling, dancing & people, I love writing. I've self-published a couple of children's books -""Back to Basics: Dancehall ABC"", ""Irie the Caterpillar"", ""Irie the Butterfly"" and more. Move and groove like a Jamaican with me. I have over 5 years of experience in the hospitality industry as an Entertainment Coordinator & Retreat Manager. I am originally from Kingston but have traveled all over Jamaica. I've done dancing on different beaches, hiking the Blue Mountain Peak, Calabash, bamboo rafting & so much more! I am currently working from home so my schedule can be pretty flexible. Other than traveling, dancing & people, I love writing. I've self-published a couple of children's books -""Back to Basics: Dancehall… ",https://www.airbnb.co.in/experiences/1671856?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Discover The Vatican for Kids & Families,4.87,Rated 4.87 out of 5 from 15 reviews.,"Rome, Italy",Airbnb Online Experiences,"Do you think you can enjoy this experience comfortably sitting on your sofa? Not at all! This is not a class, but a real game! A fun discovery for kids and families of the highlights of the Vatican Museums and the Sistine Chapel within the Vatican City State: the smallest country in the world where the Pope lives! Mythological characters, famous paintings and curious stories, bump in the labyrinthine corridors of the Vatican Museums and play quizes, active games and household hunts. Our goal is to win every challenge to open the Museums’ doors! This experience is recommended for kids age 6 to 12 and their parents, younger kids can join us for free! It will be an online experience, so you just need a good internet connection and a device (tablet, pc, television).  Hi! I’m Alessandra, I’m a tour guide for kids and families, in Rome. I was fascinated by Art since I was a child, when I used to walk around Rome with my family. Then I studied Art History and History Education. I’m curious and optimistic, I love food, travel and crafts. My dream? I’m waiting for the Time Machine invention. I will lead your family throughout the wonders of the Vatican Museum, the fifth biggest Museum in the world! You will learn about an outstanding place! Do you think you can enjoy this experience comfortably sitting on your sofa? Not at all! This is not a class, but a real game! A fun discovery for kids and families of the highlights of the Vatican Museums and the Sistine Chapel within the Vatican City State: the smallest country in the world where the Pope lives! Mythological characters, famous paintings and curious stories, bump in the labyrinthine corridors of the Vatican Museums an… ",Online experience hosted by Bruno,Host on Airbnb since 2019,15 Reviews,Identity verified,"Hi! My name is Bruno and I am the owner of Pinocchio Tours. I will host this Online Experience with Alessandra, she is a skilled art historian and a professional tourist guide  specialised in family friendly activities.  She will entertain you and your children for a hour inside the  Vatican, the smallest country in the world! Ready to use ""Zoom"" and connect together to play games, scavenger hunts and much more? We are waiting for you!",https://www.airbnb.co.in/experiences/1694198?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Discover Indonesia with Batik Art,5.0,2 reviews,"Singapore, Singapore",Airbnb Online Experiences,"We are changing the theme of the talk every month and in the month of July & August, as an celebration to the launch of this experience and National Days, the theme will be: Introduction to Indonesia's history! We will start the session with a quick introduction about myself and getting to know each other. Once we are warmed up, we will go on a time machine ride through Indonesia's historical timeline as reflected by Indonesian textile art of batik.  Batik is an Indonesian art technique of decorating a piece of cloth using hot wax as a dye resist and the motif transformation becomes a unique evidence of pivotal moments throughout Indonesian history.  Before we close off the session, we will learn to create a simple geometrical batik motif as a souvenir and as an inspiration to learn more about the beautiful heritage of batik.  The world of Indonesian batik art is so vast. We will curate different themes weekly to keep things fresh and we will customise each session with participants in different stages of batik discovery journey. Fun and unique experiences every time, guaranteed! We are changing the theme of the talk every month and in the month of July & August, as an celebration to the launch of this experience and National Days, the theme will be: Introduction to Indonesia's history! We will start the session with a quick introduction about myself and getting to know each other. Once we are warmed up, we will go on a time machine ride through Indonesia's historical timeline as reflected by Indones… ",Online experience hosted by Tony,Host on Airbnb since 2016,2 Reviews,Identity verified,"I am the founder aNERDgallery, a platform aiming to spread the beauty of Indonesian textile arts of batik and tenun. Inspired by the design, intrigued by the cultural history and geeked out by the science, I started my textile journey in 2016 by spending a month across Java in Indonesia to learn the ins and outs of the batik industry around the region. This included spending a week away in a remote village to learn making batik from scratch. Always a learner, I hope to share my passion for the forgotten art form (and maybe some funny stories from the road). I am the founder aNERDgallery, a platform aiming to spread the beauty of Indonesian textile arts of batik and tenun. Inspired by the design, intrigued by the cultural history and geeked out by the science, I started my textile journey in 2016 by spending a month across Java in Indonesia to learn the ins and outs of the batik industry around the region. This included spending a week away in a remote village to learn making batik from scratch. Always a learner, I hope to shar… ",https://www.airbnb.co.in/experiences/1728007?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Be fearless with Pita Taufatofua,5.0,Rated 5.0 out of 5 from 11 reviews.,Olympian and Paralympian collection,Download Zoom,"Like any great experience, this is about you. Do you need more motivation? I got you!  Do you start things and find it hard to maintain the momentum? I got you!  Do you feel a little lost or overwhelmed at times? I got you!  I’ll help with perspective, hints, and tips to help you make your dream come true no matter where you are or what you have.  My goal through this experience is to share three key ingredients that will let you use what you have to take your life to the next level. To help share these ingredients, I’ll use some examples from my often bumbled quest to the Olympics. As storytelling is a huge part of Polynesian culture, I’ll be telling my story around a wooden kava bowl. You're encouraged to have some form of healthy drink ready to 'inu' with me each time we share an experience. I will show you the importance of resourcefulness over resources. Throughout, there will be time for many of you to ask questions and pick my brain on how to overcome any specific motivation-based challenges you may have. As a heads up, expect that my experience on July 26 at 10:00am London time will be streamed live for more fans to watch both on Airbnb.com and on YouTube, so if you book to join me, you'll also get to be part of the stream. Like any great experience, this is about you. Do you need more motivation? I got you!  Do you start things and find it hard to maintain the momentum? I got you!  Do you feel a little lost or overwhelmed at times? I got you!  I’ll help with perspective, hints, and tips to help you make your dream come true no matter where you are or what you have.  My goal through this experience is to share three key ing… ",Olympic experience hosted by Pita,Olympian · Representing Tonga · Host on Airbnb since 2015,11 Reviews,Identity verified,"Hi all, my name is Pita Taufatofua but you probably know me as the Tongan flag bearer. I've qualified and competed in both the summer and winter Olympic Games in taekwondo and cross-country skiing.  With no snow in Tonga, I learnt how to ski and reach Olympic level qualification in under one year. Crazy, right?! I have worked for over fifteen years in youth homeless shelters, studying to figure out what it takes to help people overcome their biggest challenges. That is my passion: helping people become the best they can be. This passion led me to become the first ever UNICEF Goodwill ambassador for the Pacific. I also wrote a book called ""The Motivation Station"" and it was a bestseller!  I’m super excited to share the key secrets that I use daily to achieve my impossible goals. Hi all, my name is Pita Taufatofua but you probably know me as the Tongan flag bearer. I've qualified and competed in both the summer and winter Olympic Games in taekwondo and cross-country skiing.  With no snow in Tonga, I learnt how to ski and reach Olympic level qualification in under one year. Crazy, right?! I have worked for over fifteen years in youth homeless shelters, studying to figure out what it takes to help people overcome their biggest challenges. That is my p… ",https://www.airbnb.co.in/experiences/1849053?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
"Tokyo Online Tour All in One, With 10+ Top Sights!",4.95,Rated 4.95 out of 5 from 202 reviews.,"Taito city, Japan",Airbnb Online Experiences,"Now, even if you can’t come to Tokyo, when you join this online tour, you can still feel like coming to Tokyo, visiting so many nice tourist spots, with over 150 pictures and video clips! I will show you something difficult to find by yourself, even if you ""can"" come to Tokyo now. Though visiting tourist spots in Tokyo, you may come to know Japanese people's  daily life style, culture, history, beauty, table etiquette, and our way of thinking, mindset. I hope this will be the best Tokyo online tour, Tokyo virtual tour, and the best  Japan's cultural experience for you. And I hope this is good for cerebrating someone's special day, present for your family/friends, or social learning, team building. In these case, please tell me in advance,then I will prepare something special. :-) 1. Unique transportation  2. Japanese breakfast 3. Hachi, the most popular Japanese dog 3.Meiji Jingu, big forest is in city center 4. Tsukiji fish market, full of seafood all though year 5. Akihabara, full of animation shops, pet cafes 6. Japanese convenience store 7. Sensoji temple, the most popular tourist spot 9.Buddhist temple & Shinto shrine 10.α&ω guardians 11. Ramen restaurant 12. Sushi restaurant 13. Japanese table manner and the unique reason 14. ""Tip"" (+Q&A session) Now, even if you can’t come to Tokyo, when you join this online tour, you can still feel like coming to Tokyo, visiting so many nice tourist spots, with over 150 pictures and video clips! I will show you something difficult to find by yourself, even if you ""can"" come to Tokyo now. Though visiting tourist spots in Tokyo, you may come to know Japanese people's  daily life style, culture, history, beauty, table etiquette, and o… ",Online experience hosted by Jun,Host on Airbnb since 2016,202 Reviews,Identity verified,"Greetings from Tokyo! I’m Jun. In the past, I was an international management consultant, visited many countries, introduced our culture to the world. And after that, I turned to be a professional tour guide, I have hosted over 1,000 guests from around the world on ""face to face experiences"" with excellent reviews: For example; https://www.airbnb.com/experiences/79016 And plus, I'm I am supporting Japanese local people starting unique experiences. Named, ""Wasabi Project"". www.airbnb.com/japan_wasabi_project #wasabijp on Instagram.  When I’m off, I love running. I'm an ""ultra train runner"". Through each of my experiences, I strive to introduce guests to Tokyo's culture, history, beauty, lifestyle, background, and the Japanese way of thinking, mindset. * If you can't find a vacant slot in my schedule, please request me in ""Japan Time"". Greetings from Tokyo! I’m Jun. In the past, I was an international management consultant, visited many countries, introduced our culture to the world. And after that, I turned to be a professional tour guide, I have hosted over 1,000 guests from around the world on ""face to face experiences"" with excellent reviews: For example; https://www.airbnb.com/experiences/79016 And plus, I'm I am supporting Japanese local people starting unique experiences. Named,… ",https://www.airbnb.co.in/experiences/1505578?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
Secrets of Magic,4.97,Rated 4.97 out of 5 from 501 reviews.,"Berkhamsted, United Kingdom",Airbnb Online Experiences,"Prepare to be inspired and spellbound as we go on an epic 90 minute journey through my magical world. Join me in the Secrets of Magic Zoom Classroom where you will take part in a mind-blowing magic show with everyday objects such as cards, coins & the gold-dust of our times - a roll of toilet paper! I'll share with you heartfelt & inspiring stories of truly magical moments that have happened while entertaining children in hospital, which helped me discover what the true secret of magic really is. The show section dramatically ends with an attempt to break one of my Guinness World Records live for you on camera! (Goes without saying it won't be the skydive record I'm afraid) Then it's your turn to give it a go! I'll share with you some of the tricks you've just witnessed me perform. But this experience won't just be about learning tricks, we'll also explore the psychology that turns a trick into a piece of magic. For families, the recommended age of this experience is 7+ however private bookings get a bespoke service, allowing me to adapt to your child's age range/needs. This experience is great for team-building and if you book as a private group, I can provide a bespoke piece of magic. Is your group larger than my listed max group size for private groups? Send me a message! *Price is based on per person watching, regardless of location or if viewing on the same device* Prepare to be inspired and spellbound as we go on an epic 90 minute journey through my magical world. Join me in the Secrets of Magic Zoom Classroom where you will take part in a mind-blowing magic show with everyday objects such as cards, coins & the gold-dust of our times - a roll of toilet paper! I'll share with you heartfelt & inspiring stories of truly magical moments that have happened while entertaining children in ho… ",Online experience hosted by Martin,Host on Airbnb since 2019,501 Reviews,Identity verified,"I've been performing magic since the age of 12. Over the past few years, I broke several Guinness World Records in magic to raise money/awareness for Spread a Smile who provide entertainment for children in hospital.  I hold the Guinness Book of World Record titles for: Most Magic Tricks on a Skydive Most Magic Tricks in a Wind Tunnel Most Magic Tricks Blindfolded in 1 Minute Most Playing Cards Identified in 1 Minute Each record has been crazy ride, particularly the blindfold record, which was first achieved on Britain's Got Talent in 2018 and which I’ve since broken twice in 2019. This online experience is an adaptation of my in-person experience “Secrets of Magic at Kings Cross Station” which has almost 40 5-star reviews! My magic is family friendly and guaranteed to be an experience you'll remember forever! I've been performing magic since the age of 12. Over the past few years, I broke several Guinness World Records in magic to raise money/awareness for Spread a Smile who provide entertainment for children in hospital.  I hold the Guinness Book of World Record titles for: Most Magic Tricks on a Skydive Most Magic Tricks in a Wind Tunnel Most Magic Tricks Blindfolded in 1 Minute Most Playing Cards Identified in 1 Minute Each record has been crazy ride, part… ",https://www.airbnb.co.in/experiences/1653761?currentTab=experience_tab&federatedSearchId=a816e120-48a0-40d4-8a7a-c8a67a56c81a&searchId=&sectionId=d7e71401-6140-4bea-b6ff-aee3e1363825&source=p2
